ANVICK;Av. Villarroel 2030 casi Ciclovia;Internacional;76;NO TIENE;NO TIENE 
HOTEL CRISTAL SAMAÑA;C. BATALLON COLORADOS EDIF MURAL PISO 7D;Bolivia;35, 36, 37;http://www.hotelcristalsamana.com.bo/index.php/sp/hotel/index;https://www.facebook.com/CristalSamana?fref=ts
SESAME FOODS CORPORATION S.A.;Av. BLANCO GALINDO KM 6 1/2 ENTRADA A MARINA DEL REY A LADO DEL MOTEL TANTRA;Bolivia;82;http://www.advanceconsulting.nl/news/5819/2013/11/sesame-food-corporation-launches-don-sesamo;NO TIENE 
PLATERIA SANTIAGO;Av. Villazon 315 km 1 1/2 rotonda SNC;Bicentenario;42;NO TIENE;NO TIENE 
ACERVIDA;C. Guarayos Nº 7 Santa cruz;Bicentenario;39;http://www.actiweb.es/acervida-gimnasio/;NO TIENE 
RIBERT;Av. SAN MARTIN N° 671;Bicentenario;26;NO TIENE;NO TIENE 
M&M IMPORTACIONES Y REPRESENTACIONES;SUAREZ DE FIGUEROA 264 ENTRE COLON Y VELASCO GALERIA VICTORIA LOCAL 7;Internacional;88;NO TIENE;NO TIENE 
MEXICANA DE IMPORTACIÓN Y EXPORTACION;Av. 14 DE SEPTIEMBRE Nº 5652 OBRAJES;Internacional;21, 22;NO TIENE;NO TIENE 
TUVES TV SATELITAL BOLIVIA S.A.;Av. Sanchez Lima Nº 2360 Edif. Sky Tower Of. 10 mezanine La Paz;Internacional;102;NO TIENE;NO TIENE 
CERAMICA GLADYMAR S.A.;PARQUE INDUSTRIAL MZ-11;Bolivia;64, 65, 66;http://www.gladymar.com/;NO TIENE 
AVICOLA ROLON SRL;Av. DEL REDUCTO S/N ZONA BRUNOMOCO TIQUIPAYA;Bolivia;103;NO TIENE;NO TIENE 
TURBABOL;Av. 6 DE AGOSTO Nº 1765 Y MOXOS;Bicentenario;68, 69;NO TIENE;NO TIENE 
FUNDACION PROINPA;Km 10 Blanco Galindo 3 km al norte Av. Meneses zona el paso;Bolivia;4;NO TIENE;NO TIENE 
HACIENDA SAN VALENTINO SRL;NATANIEL AGUIRRE S/N;Internacional;40;NO TIENE;NO TIENE 
BADANA FASHION;Av. MARISCAL SANTA CRUZ Nº 1086 GALERIA DE FERIA DEL CUERO;Bicentenario;45;NO TIENE;NO TIENE 
ACQVATECH;C. Girasoles 1234 zona alto aranjuez;Bicentenario;73;NO TIENE;NO TIENE 
EXCERNAT;C. Andres Ibañez Nº 1674;Integracion;22;NO TIENE;NO TIENE 
WORLD PRODUCT TV;SAN MARTIN N°540;Integracion;34;NO TIENE;NO TIENE 
COSBELL;C. Ladislao Cabrera 464;Integracion;13;NO TIENE;NO TIENE 
DICHES SRL;DANIEL CAMPOS Nº 423;Bicentenario;24, 25;NO TIENE;NO TIENE 
SAFI MERCANTIL SANTA CRUZ S.A.;C. CALAMA Nº 242 AGENCIA BANCO MERCANTIL SANTA CRUZ AUTOBANCO;Bolivia;80, 81;https://www.safimsc.com/;https://www.facebook.com/safimsc
INDUSTRIA COPACABANA S.A.;C. LUIS SALINAS VEGA Nº 108 ZONA PURA PURA;Bolivia;1;NO TIENE;NO TIENE 
KRONCE;Condominio Plaza Real, 9 C, Av. Beijing casi America;Bicentenario;34;NO TIENE;NO TIENE 
IMBA S.A.;Av. CAPITAN VICTOR USTARIZ 4 1/2;Bolivia;111, 112, 113;NO TIENE;https://www.facebook.com/ImbaBolivia
CADEPIA - CAMARA DE LA PEQUEÑA INDUSTRIA Y ARTESANIA PRODUCTIVA DE CBBA;LADISLAO CABRERA N° 260;Area Externa;3B24E;NO TIENE;NO TIENE 
YESID RAFAEL ARAMBURO GUERRERO;C. 16 DE JULIO Nº 1621;Internacional;6;NO TIENE;NO TIENE 
INDUSTRIAS ALIMENTICIAS FAGAL SRL;AV VILLAZON KM 4 1/2 ZONA AROCAGUA;Bolivia;57;NO TIENE;NO TIENE 
ELECTRIC COPPER S.R.L.;Av. BLANCO GALINDO KM 3 1/2 Nº 2580;Bicentenario;75, 76, 77;NO TIENE;NO TIENE 
GALA DEPORTE SRL;C. PSJE ZOOLOGICO Nº 1185;Internacional;1, 2;NO TIENE;NO TIENE 
IMSERAUTO;Av. PAPA DAMASO N° 52 PACATA ALTA;Internacional;96;http://www.imserauto.com/index.php;https://www.facebook.com/imserauto.importacionesrepresentaciones?fref=ts
CENSA;Av. Heroinas 287;Bicentenario;46;NO TIENE;NO TIENE 
VITRIFICADOS DEL CARMEN;final republica y barriendos parque ferroviario Nº 255;Artesanal;40;NO TIENE;NO TIENE 
TRANSFORPLAS;C. PENOCO ESQ. PGUAPOMON;Integracion;3;NO TIENE;NO TIENE 
FUNDACION AGRECOL ANDES;PASAJE F 2958 URBANIZACION EL PROFESIONAL;Area Externa;3C3E;http://web.agrecolandes.org/;https://www.facebook.com/FundacionAgrecolAndes?fref=ts
YESID RAFAEL ARAMBURO GUERRERO;C. 16 DE JULIO Nº 1621;Internacional;7;NO TIENE;NO TIENE 
DRAGO FENIX LR EDITORIAL;AYACUCHO Nº 465;Internacional;39;NO TIENE;NO TIENE 
MUEBLES ZAMON;Av. AMERICA ESQUINA M AGUIRRE FRENTE A GIMNASIO PREMIER;Bicentenario;58, 59, 64, 65;NO TIENE;NO TIENE 
DECORACIONES EN BRONCE MIGUEL ANGEL;Av. EL TROMPILLO N° 176 2DO ANILLO;Bicentenario;43, 44;NO TIENE;NO TIENE 
"FABRICA DE CHOCOLATES ""SUCS. HARASIC"" LTDA";SARGENTO FLORES N° 415 POTOSI 6 DE OCTUBRE;Integracion;39;NO TIENE;NO TIENE 
CENTRAL DE COOPERATIVAS EL CEIBO LTDA;AV JUAN PABLO II Nº 2560;Bolivia;29;http://fairtradeusa.org/about-fair-trade-usa;NO TIENE 
BIBLOS EDICIONES;PSJE. WARISATA Nº 1 CIRCUNVALACION Y POTOSI;Bicentenario;49;NO TIENE;NO TIENE 
MANJAR DE ORO;AV AMERICA Nº 906 ESQ MELCHOR URQUIDI;Internacional;95;http://manjardeoro.com/;https://www.facebook.com/search/results/?q=MANJAR%20DE%20ORO&init=mag_glass&tas=search_preload&search_first_focus=1427317493241
Moda Corp;C. 16 de Julio esquina La Paz;Bicentenario;47;NO TIENE;NO TIENE 
NTC NEW TRAINING CENTER;C. ORURO Nº 219 ESQ. BALLIVIAN;Bicentenario;13;NO TIENE;NO TIENE 
CALZART BOLIVIA;C. 25 DE MAYO Nº 233 ENTRE COLOMBIA Y ECUADOR;Bolivia;101, 102;http://calzartbolivia.com/;NO TIENE 
CAPRESSO SRL;Av. PANDO S/N BAJOS EDIF. AQUARELLA FRENTE FEPC;Bicentenario;53;http://www.gastronomia.gnb.com.bo/Confiterias,-heladerias/135538/CAPRESSO-SRL..html;NO TIENE 
CRAZY STORE;Av. OQUENDO Nº 496ESQ. FEDERICO BLANCO;Internacional;18;http://bo.clasificados.st/usuario/105240;NO TIENE 
FANACIM S.A.;Av. ITALIA Nº 132 VALLE HERMOSO;Bicentenario;1, 2;http://www.fanacim.com.bo/Sitio/Interfaces/IUVentasCBA.php;NO TIENE 
MACHOBOL PORTONES SAN MIGUEL;Av. Melchor Perez de Olguin Nº 1928;Area Externa;3B23E;NO TIENE;NO TIENE 
SIBA LTDA;Av. Salamanca Nº 675 Edif. Sisteco piso 6 Of. 1;Bolivia;43;http://imbolivia.com/e/singanis-bebidas-y-alimentos-siba-ltda;NO TIENE 
SISTEMAS ELECTRONICOS DE SEGURIDAD SES;Av. Dorbigni Nº 228 casi Villavicencio;Bolivia;30;http://www.sesbolivia.com/;NO TIENE 
UNIVERSIDAD SIMON I PATIÑO;Av. Villazon Km1 a Sacaba;Bicentenario;14, 15;http://usip.edu.bo/;https://www.facebook.com/posgrado.universidadsimoni.patino?ref=br_rs
CONFITERIA ELIs LTDA;25 de Mayo Nº 187 Esq. Colombia;Plaza de Comidas;7;http://www.gastronomia.gnb.com.bo/Confiterias,-heladerias/86930/CONFITERIA-ELIS-LTDA..html;https://www.facebook.com/search/results/?init=quick&q=CONFITERIA%20ELIs%20LTDA%20&tas=0.019713619723916054
AUTOGROUP GRUPO AUTOMOTRIZ BOLIVIANO SRL;Av. AMERICA Nº 877;Area Externa;3A11E;http://bo.w393.com/AUTOGROUP+GRUPO+AUTOMOTRIZ+BOLIVIANO+SRL/4580371700;https://www.facebook.com/imserauto.importacionesrepresentaciones?fref=ts
LATIN AMERICA;Av. Sajama 1060 entre Manco Kapac y Juana Azurduy;Integracion;15;;NO TIENE 
PLAYA TURQUESA SRL;AV SAN MARTIN Nº 1100 ESQ AZUCENAS;Bicentenario;71, 72;http://www.trabajopolis.bo/empresa-con-ofertas-de-trabajo-y-empleo-en-bolivia/283573/PLAYA-TURQUESA-SRL;NO TIENE 
FAMEQUI & JK;Av. Villazon 403 Km 2, lado Campero;Bolivia;98;NO TIENE;NO TIENE 
HAMBURGON;C. ISMAEL CESPEDES Nº 76 ENTRE JUAN DE LA ROSA Y YURACARE;Plaza de Comidas;22;https://www.facebook.com/pages/Hamburgon/155292501265820?rf=561974530553931;https://www.facebook.com/pages/Hamburgon/155292501265820?fref=ts
MUNDO HOGAR;C. Herrera esq. Potosi;Integracion;29;NO TIENE;NO TIENE 
MILLER BEBIDAS Y ALIMENTOS S.A.;Av. MELCHOR URQUIDI Nº 1274;Plaza de Comidas;5;NO TIENE;NO TIENE 
IMPORTADORA DARIO;C. RUFINO BENAVIDES Nº 20;Integracion;32;NO TIENE;NO TIENE 
JUGUETES DE ACERO KUPER SRL;Av. PALMERAS 2795,URB. BELLOHORIZONTE LAGUNAS, DISTRITO 7, EL ALTO;Bicentenario;56;NO TIENE;NO TIENE 
SONON´G SRL;C. Esteban Arze Nº 1324;Internacional;101;NO TIENE;NO TIENE 
MILCAR SRL;KM. 4 1/2 A SACABA C. JACARANDA Nº 153;Internacional;9;;NO TIENE 
